APFS Number,Description,Contract Status,Component
F2014024733,Overhaul of Hamilton Sundstrand 54H60-117 Propeller Assemblies and Related Components for the Coast Guard's fleet of HC-130H aircraft,NEW,USCG/ALC
F2015026262,"In accordance with the National Flood Insurance Act, as amended by 42 USC 4101-1, the Administrator of the Federal Emergency Management Agency (FEMA) will continue to make available an independent scientific body (referred to as the Scientific Resolution Panel) that can be convened when deemed necessary by FEMA or a joint agreement of FEMA and a community. The SRP will review and resolve conflicting data related to proposed Base Flood Elevations (BFEs) and Special Flood Hazard Areas (SFHAs) as provided for in the National Flood Insurance Act, as amended by (42 USC 4104(e); 44 CFR Part 67.8). ",NEW,FEMA
F2015026278,"The Office of Congressional Affairs requires online access to the following Bloomberg's  BGov Congressional and Legislative data base services for 11 users:•	Congressional Data•	Congressional Analysis•	Congressional News•	State and District Profiles•	Member Profiles•	Legislation•	Congressional Reports Service•	Alerts•	Homeland Security Page",NEW,CBP
F2015028763,"This contract provides information technology training required for US Coast Guard (CG) field technicians.  The training is in support of the Coast Guard Standard Workstation III computer systems and network infrastructure, and includes administrative and operations support.  Technical training is required to provide high-quality service with minumal interruptions, and to ensure commands meet operational requirements during times of system change.",REC,USCG/C4IT
F2015029014,"PSN 464898 Repair Roadways and Parking Sector Mobile, AL",NEW,USCG/SILC-Const.
F2015029069,"PSN 6279596 Repair Waterfront at CG STA Marathon, FL",NEW,USCG/SILC-Const.
F2015029095,"PSN 6689778 Major M&R Waterfront Bulkhead, Pier & Floating Dock CG STA Sand Key in Clearwater, FL",NEW,USCG/SILC-Const.
F2015029138,"PSN 4990020 Repair Small Arms Firing Range at SFO Galveston in Galveston, TX",NEW,USCG/SILC-Const.
F2016031320,"The contractor shall provide Cybersecurity Services to the United States Coast Guard (USCG) to include network administration, information systems security and systems security analysis, Security Authorization Process (SAP), security evaluations and assessments, documentation support for the area of SAP, Cybersecurity training support. Tasks shall be performed to address the protection of all USCG systems and the information they contain, which shall include the USCG IT infrastructure and connected workstations on the Non-Classified Internet Protocol Router Network (NIPRNET), Secret Internet Protocol Router Network (SIPRNET), and the Joint Worldwide Intelligence Communications System (JWICS). The top level requirements include Cybersecurity Compliance and Reporting Services, USCG Cybersecurity Operations Center (CSOC) Services & Information System Security Officer (ISSO) Services.",REC,USCG/C4IT
F2016031819,"This is an additional out of scope requirement to overhaul, P/N VCT 1518D, Oil Cooling Fan, utilized on the MH-65 aircraft.  It is anticipated that this will be offered on a Sole Source Basis to the Original Equipment Manufacturer, Technofan, Inc., under an existing contract HSCG38-15-D-202050.",REC,USCG/ALC
F2016033479,Coast Guard has a need for purchase of various Dual Point Davit parts for 418' WMSL. Based on market research the Coast Guard anticipates this to be a sole source award to Allied Systems Company. The period of performance will be one (1) Base plus four (4) Option Yrs.,NEW,USCG/SFLC
F2016034066,"PSN 6206810 Major M&R Sewickley UPH Facilities CGC OSAGE at Sewickley, PA",NEW,USCG/SILC-Const.
F2016034076,"PSN 7088520 Repair Fuel System Piping and Components at Station Dauphin Island, AL",NEW,USCG/SILC-Const.
F2016034284,"PSN 4804425 Major M&R Galley (Bldg 3) at Base Miami, FL",NEW,USCG/SILC-Const.
F2017037040,"The United States Coast Guard (USCG) Surface Forces Logistics Center, Medium Endurance Cutter Product Line has a requirement for procurement and installation of USCG WMEC 270 Ship Service Voltage Regulator, manufacture of a new enclosure for the new Ship Service Voltage Regulator, removal of the existing Ship Service Voltage Regulator, and testing of voltage regulators and 60HZ distribution system.",NEW,USCG/SFLC
F2017037217,"The primary system covered by this contract is “Cornerstone.”  It is the contractor’s responsibility to maintain oversight of technological changes and opportunities relating to the Cornerstone system, and to be able to define attainable solutions and implement changes to automated business processes and reporting solutions for OPR managers.",REC,CBP/IA
F2017038495,"PSN 9339005 Major M & R Building 111 at Sector Mobile, AL",NEW,USCG/SILC-Const.
F2017038557,PSN 9932573 HS17B Replace Colorado Obstruction LT at CGD Eight,NEW,USCG/SILC-Const.
F2017038571,"PSN 9635161 HS17B Rebuild Arlington Ranges (LLNR: 15305 & 15300) at CG ANT New Orleans, LA",NEW,USCG/SILC-Const.
F2017038572,"PSN 9867860 Major M&R Hangar Fire Suppression (Master) at CG AIRSTA Houston, TX",NEW,USCG/SILC-Const.
F2017038860,"US Coast Guard (USCG), Surface Forces Logistics Center (SFLC) Ice Breaker Buoy and Construction Tender Product Line (IBCTPL) intends to enter into sole source contract for one (1) year, with four (4) option years for the purchase of Corrosion Preventative Anode kits manufactured by Evoqua Water Technologies.  These anode kits are used on the 225 ft Large Ocean Going Buoy Tenders (WLBs) and the 418 ft National Security Cutters (NSCs).  ",NEW,USCG/SFLC
F2017039565,"The purpose of this project is to purchase Multi-band (VHF/UHF/700-800 MHz) tactical portable radios per Short Range Communications Upgrade System (SRCUS) requirements for use throughout the U. S. Coast Guard. New IDIQ will be competed via open competition on Federal Business Opportunities (FedBizOpps). This procurement will provide GFE, Multi-band (VHF/UHF/700-800 MHz) tactical portable radios, to alleviate cyber related issues with radio control software.",NEW,USCG/C4IT
F2017039568,The purpose of this project is to purchase VHF Marine Channel 13 and 16 Guard Receivers radios per Short Range Communications Upgrade System (SRCUS) requirements for cutters and boats throughout the USCG. New IDIQ will be competed via open competition on Federal Business Opportunities (FedBizOpps). This GFE includes Marine Band Channel 13 & 16 guard receivers.,NEW,USCG/C4IT
F2017039916,"Commercial IDIQ contract, one base year and four option years for performing Lead Base Paint(LBP) and Asbestos Containing Material(ACM) abatement, cleaning, testing, annual and condition assessments. Ice Breaker, Buoy, and Construction Tender Product Line (IBCTPL) platforms associated with the work: Cutter Class: WLIC, WLR, WAGL, WYT, TE, WTGB Barge Class: 68B CGB, 70 CGB, 84 CGB, 90B CGB, 100A CGB, 120 CGB, 130 CGB",REC,USCG/SFLC
F2017040504,"PSN 10200633 HS17B  H Irma Repair at CG STA Georgetown, SC",NEW,USCG/SILC-Const.
F2017040563,"This requirement is for the purchase and delivery of spreader bars, slings, and shackles for ASCOM BHT200T Marine Travel Lift to enable lifting Georgia Coast Guard 110' Patrol Boats unbder FMS Case GG-P-SAE, Georgia.   ",NEW,USCG/CG-912
F2018040662,"Contractor to provide complete buildings, grounds, electrical, mechanical, plumbing and roads maintenance for the Coast Guard Yard base. ",REC,USCG/SFLC
F2018040735,"PSN Repair Septic System Septic Tank/Drain Field at CGC Muskingum, OK",NEW,USCG/SILC-Const.
F2018041070,"USCGC IDA LEWIS FY20 dry dock maintenance availability. USCGC IDA LEWIS is home-ported in Newport, Rhode Island. Worklist will include, but is not limited to: underwater propulsion equipment removal and inspection/overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2018041391,This will be a ship repair contract for CGC SEA OTTER FY19 DD2 maintenance availability designed to complete all standard recurring maintenance items.,NEW,USCG/SFLC
